date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:52:38	78778/78778	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202017%2005:52:37%20GMT	https://jobify-demos.astoundify.com/extended/resume/paul-richards/	D:/emp/jobify-demos.astoundify.com/extended/resume/paul-richards/index.html	(from https://jobify-demos.astoundify.com/extended/)
05:52:40	40495/40495	---M--	200	added ('OK')	image/jpeg	etag:%229e2f-53178cfc230c0%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/uploads/sites/3/2016/04/browse-tons-of-jobs.jpg	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/uploads/sites/3/2016/04/browse-tons-of-jobs.jpg	(from https://jobify-demos.astoundify.com/extended/)
05:52:41	1884/1884	---MCZ	200	added ('OK')	application/javascript	etag:W/%2275c-54fbd6befdf4f-gzip%22	http://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.0.7	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min8571.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:42	206784/206784	---M--	200	added ('OK')	image/jpeg	etag:%22327c0-531665f02d680%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/uploads/sites/3/2016/04/hero-home-header.jpg	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/uploads/sites/3/2016/04/hero-home-header.jpg	(from https://jobify-demos.astoundify.com/extended/)
05:52:44	9563/9563	---MCZ	200	added ('OK')	application/javascript	etag:W/%22255b-54fbd6befcfaf-gzip%22	http://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:44	60525/60525	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202017%2005:52:40%20GMT	https://jobify-demos.astoundify.com/extended/jobs/	D:/emp/jobify-demos.astoundify.com/extended/jobs/index.html	(from https://jobify-demos.astoundify.com/extended/)
05:52:46	1847/1847	---MCZ	200	added ('OK')	application/javascript	etag:W/%22737-54fbd6befcfaf-gzip%22	http://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min6b25.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:47	77275/77275	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202017%2005:52:43%20GMT	https://jobify-demos.astoundify.com/extended/canada-adds-12500-jobs-in-modest-july-rebound/	D:/emp/jobify-demos.astoundify.com/extended/canada-adds-12500-jobs-in-modest-july-rebound/index.html	(from https://jobify-demos.astoundify.com/extended/)
05:52:48	62366/62366	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202017%2005:52:40%20GMT	https://jobify-demos.astoundify.com/extended/login/	D:/emp/jobify-demos.astoundify.com/extended/login/index.html	(from https://jobify-demos.astoundify.com/extended/)
05:52:50	562/562	---MCZ	200	added ('OK')	application/javascript	etag:W/%22232-54fbd6befdf4f-gzip%22	http://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=3.0.7	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min8571.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:51	2557/2557	---MCZ	200	added ('OK')	application/javascript	etag:W/%229fd-54fbd6befdf4f-gzip%22	http://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=3.0.7	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min8571.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:51	78062/78062	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202017%2005:52:46%20GMT	https://jobify-demos.astoundify.com/extended/canada-adds-12500-jobs-in-modest-july-rebound-which-is-a-good-sign/	D:/emp/jobify-demos.astoundify.com/extended/canada-adds-12500-jobs-in-modest-july-rebound-which-is-a-good-sign/index.html	(from https://jobify-demos.astoundify.com/extended/)
05:52:52	78124/78124	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jun%202017%2005:52:49%20GMT	https://jobify-demos.astoundify.com/extended/fitness-industry-leading-the-charge-on-hiring-in-the-uk-and-ireland/	D:/emp/jobify-demos.astoundify.com/extended/fitness-industry-leading-the-charge-on-hiring-in-the-uk-and-ireland/index.html	(from https://jobify-demos.astoundify.com/extended/)
05:52:53	4000/4000	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fa0-54fae34f616c0-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/jquery/ui/core.mine899.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:55	6908/6908	---MCZ	200	added ('OK')	application/javascript	etag:W/%221afc-54fae34f616c0-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/jquery/ui/widget.min.js?ver=1.11.4	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/jquery/ui/widget.mine899.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:55	3148/3148	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c4c-54fae34f616c0-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/jquery/ui/mouse.min.js?ver=1.11.4	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/jquery/ui/mouse.mine899.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:56	10987/10987	---MCZ	200	added ('OK')	application/javascript	etag:W/%222aeb-54fae34f616c0-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/jquery/ui/slider.min.js?ver=1.11.4	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/jquery/ui/slider.mine899.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:56	16410/16410	---MCZ	200	added ('OK')	application/javascript	etag:W/%22401a-54fae34f616c0-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/underscore.min.js?ver=1.8.3	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/underscore.min4511.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:57	23318/23318	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b16-54fae34f616c0-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/backbone.min.js?ver=1.2.3	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/backbone.min9632.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:58	1046/1046	---MCZ	200	added ('OK')	application/javascript	etag:W/%22416-54fae34f616c0-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/wp-util.min.js?ver=4.7.5	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/wp-util.min66f2.js	(from https://jobify-demos.astoundify.com/extended/)
05:52:59	3020/3020	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bcc-54fae34f616c0-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/wp-backbone.min.js?ver=4.7.5	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-includes/js/wp-backbone.min66f2.js	(from https://jobify-demos.astoundify.com/extended/)
05:53:00	4095/4095	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fff-550595de6bf37-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/wp-job-manager/assets/js/jquery-deserialize/jquery.deserialize.js?ver=1.2.1	D:/emp/17314-presscdn-0-16-pagely.netdna-ssl.com/extended/wp-content/plugins/wp-job-manager/assets/js/jquery-deserialize/jquery.deserialize1576.js	(from https://jobify-demos.astoundify.com/extended/)
